Name,Target Geography,Logo,Official Website,Framework/API/Approach,Proximity detection,Exposure calculation,Personal information collected (on signup),Souce code?,Source code link,Developed by,Current Status
COVIDsafe,Australia,XVzoq3SW1hHpc-IJmqm-hayFKFrJlL-4uqNduzFg7QOYWW-B3cLf38ocxrGPx3Q3XmY=s180-rw (https://dl.airtable.com/.attachments/8eb30a5220741e54abbb313a20d2f168/4833cb1e/XVzoq3SW1hHpc-IJmqm-hayFKFrJlL-4uqNduzFg7QOYWW-B3cLf38ocxrGPx3Q3XmYs180-rw),https://www.health.gov.au/resources/apps-and-tools/covidsafe-app,BlueTrace,Bluetooth,Centralized,,Closed source,,,
Stopp Corona,Austria,89xSCT3mnBsrvbvdKK6bi8Vw9UdGYTG4XsXgPW4Y0-7J-r1CQkXomoUa9VN3i1DEAQ=s180-rw (https://dl.airtable.com/.attachments/b0dd8fef0e4e8d8cc9212d6f2284d765/1f11eb52/89xSCT3mnBsrvbvdKK6bi8Vw9UdGYTG4XsXgPW4Y0-7J-r1CQkXomoUa9VN3i1DEAQs180-rw),https://participate.roteskreuz.at/stopp-corona/,,Bluetooth,,,Open source,https://github.com/austrianredcross,Austrian Red Cross / Accenture?,
BeAware,Bahrain,8TMJmaOvTfeuiP18b4KWIvOE4nykZpMT5DCHj_tgPagGwz1mAEYNtPj2TdUiUMizC1Wu=s180-rw (https://dl.airtable.com/.attachments/72c94facc47fcff7a636cb1a11402a07/1412b3bf/8TMJmaOvTfeuiP18b4KWIvOE4nykZpMT5DCHj_tgPagGwz1mAEYNtPj2TdUiUMizC1Wus180-rw),https://www.bahrain.bh/wps/portal/!ut/p/a1/jZDLDoJADEW_xQVbWgdBdDcS8REJPhBxNgbMOGqQMYjg54u6wnd3bc5JbwsMAmBJmO9EmO1kEsa3nhmrvotGnZhkiJ6POHFs29P9mYW6XgLLCqBpXaSu0Rw3_RYxTPzPR-JY9UGjBBwHkZqd6cizLcSe9qf_oejP_TOewALYE_Z6xR34FvMBfM4xBCZiGd1_uqRJpJkCWMo3POWpek7L8TbLjqe2ggoWRaEKKUXM1bU8KPhO2cpTBkGVhONhPg8ug70e5yNKa7Urjziwiw!!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,,,,,Closed source,,,
ViruSafe,Bulgaria,MyKid-xxh3bmRggnyCWZFZLENqMTvo7UdGLoe8SvFJkbtJDvKCsnVMKAE7zVxZ63rUA=s180-rw (https://dl.airtable.com/.attachments/0acc1be87ae34b5e614e8674786c554f/287b75da/MyKid-xxh3bmRggnyCWZFZLENqMTvo7UdGLoe8SvFJkbtJDvKCsnVMKAE7zVxZ63rUAs180-rw),https://virusafe.info/,,GPS,,,Open source,https://github.com/scalefocus?q=virusafe,ScaleFocus,
Close Contact Detector (?),China,,?,,,,,Closed source,,Chinese gov,
CoronApp,Colombia,kibLKqpJ_GlDrlWOIyx2-48SwZidyVIGwP1zQby4JF_A-uNaFgLAx_s_umwx5GSA0H0=s180-rw (https://dl.airtable.com/.attachments/453dfe8a0ab2c9fbc8e3416c89011513/25b51fc1/kibLKqpJ_GlDrlWOIyx2-48SwZidyVIGwP1zQby4JF_A-uNaFgLAx_s_umwx5GSA0H0s180-rw),https://coronaviruscolombia.gov.co/Covid19/aislamiento-saludable/coronapp.html,,Bluetooth and GPS,,,,,,
eRouška,Czech Republic,XmybKTYht3tPjkL_1gLQAjywDWD96kpvSu5No5AH4kujTOxSuqX4m1bVxBtcPoHdww=s180-rw (https://dl.airtable.com/.attachments/1b4454c03f09b2f7a10fe3309b3822ec/89f7b632/XmybKTYht3tPjkL_1gLQAjywDWD96kpvSu5No5AH4kujTOxSuqX4m1bVxBtcPoHdwws180-rw),https://erouska.cz/,,,,,Open source,https://github.com/covid19cz,,
Estonia Contact Tracing App,Estonia,,https://e-estonia.com/trace-covid-19-while-respecting-privacy/,Apple-Google Privacy-Preserving Contact Tracing Specification,,,,,,,
Ketju,Finland,,https://ketjusovellus.fi/,,,,,,,2m-IT,
StopCovid,France,,https://www.inria.fr/fr/stopcovid,ROBERT,,,,Open source (partially),https://gitlab.inria.fr/stopcovid19,French government,
